original_sheet,table_name,rows,columns,column_names
mad_phenols,maturity_total_polyphenols,12,7,"madurez, fenoles, brix, ph, acidez, ratio, fenoles_ps"
mad_Acids,maturity_organic_acids_profile,24,10,"mad, rep, sucrose, glucose, fructose, tartaric, malic, quinic, succinic, glufru"
mad_CHac,maturity_soluble_carbohydrates,252,7,"car, mad, rep, cons, conf, h, ps"
mad_Almi,maturity_starch_content,12,3,"mad, starch, starchs"
mad_Cationes,maturity_mineral_cations,36,7,"car, mad, rep, cons, conf, humedad, ps"
mad_Fibras,maturity_dietary_fiber_fractions,60,4,"car, mad, conf, cons"
mad_PCA,maturity_multivariate_pca_coordinates,4,55,"madurez, l, a, b, pff, dmif, dmaf, dpf, dmafdpf, psf, h, pss, psspsf, dpph, pt, pthplc, galico, siringico, catecol, catequina, tanico, rutina, ss, ph, att, att_ss, sacarosa, glucosa, fructosa, tartarico, malico, quinico, succinico, glufru, ts, almidon, fdi, fds, fdt, ctc, cla, clb, feofitina_a, feofitina_b, luteina, beta_cryptoxantina, beta_caroteno, esteres_beta_criptoxantina, di_esteres_luteina, respiracion, pen, mg, k, mn, ct"
V branches,variability_branch_architecture,534,21,"year, site, phenotype, branch, length, node, nfl, nfr, fr, pff, psf, nh, psh, nfr_nfl, nfl_cm, nfl_per_node, nfr_per_cm, nfr_per_nudo, nh_per_nfr, psh_per_nfr, psh_per_psfr"
V ramas,variability_shoot_growth_dynamics,160,14,"site, year, phenotype, cardinal_point, longitude, nodes, yt, yv, yf, cd, e, f1_f2, f3, h"
V repvars,variability_reproductive_variables,1342,14,"year, site, phenotype, id, psfl, polen_type, max_polen2, min_polen2, dmap, dmip, mean_polen, no, ns, ns_no"
V polen_ger,variability_in_vitro_pollen_germination,31,5,"site, phenotype, germinated, aborted, not_germinated"
V fisico,variability_fruit_physical_dimensions,1166,15,"year, site, phenotype, id, pff, de, dp, pen, mad, psf, ns, pss, dan, pff_todos, pss_psf"
V color,variability_fruit_colorimetry,1508,16,"year, site, phenotype, rep, id, mad, color_l, color_a, color_b, color_g, axis_1, axis_2, mad_disc, axis_3, axis_4, site_disc"
V varqui,variability_chemical_composition,438,17,"year, site, phenotype, id, aao, fen, cloa, clob, caro, indmad, att, ratio, brix, aao25, aao50, aao100, aao250"
V quimico,variability_secondary_metabolites,431,5,"year, site, phenotype, bag, phenols"
V psp,variability_pulp_dry_matter,235,7,"num, year, site, phenotype, id, mad, pff"
V acidezsolidos,variability_titratable_acidity_brix,209,12,"year, site, phenotype, id, vol, phi, ph7, ph8, ac, ratio, brix, mad"
V ledesma,variability_ledesma_accession,146,11,"year, site, phenotype, est_cd, est_e, est_f1f2, est_f3, est_g, capullo, antesis_polinacion, estigma_receptivo"
V ef_reproductiva,variability_reproductive_efficiency,232,19,"year, site, phenotype, cardinal_point, long, nudos, nfl, nfr, fr, pff, psf, nh, ps_hojas, nfr_per_nfl, nfr_per_cm, nfr_per_nudo, nfr_per_hoja, nfr_per_pshojas, psf_per_pshojas"
V datamorf,variability_morphological_measurements,1166,6,"year, site, phenotype, n, pff, de"
V VAR,variability_variance_components,925,14,"year, reg, acc, n, pff, de, dp, pen, mad, psf, ns, pss, dan, latd"
V ICC,variability_intraclass_correlation_coefficients,6,6,"type, vr, level, porc, id, col_6"
REPETIBILIDAD,variability_genetic_repeatability_parameters,9,28,"col_0, col_1, col_2, col_3, col_4, col_5, col_6, col_7, col_8, col_9, col_10, col_11, col_12, col_13, col_14, col_15, col_16, col_17, col_18, col_19, col_20, col_21, col_22, col_23, col_24, col_25, col_26, col_27"
